TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,Flash Storage,Hybrid,SSHD,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
Gaming,15.6,4.0,13,8,Windows 10,2.62,985.0,0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,4.0,14,8,Windows 10,2.24,1339.0,0,0,0,0,0,1128,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,4.0,10,4,Windows 10,1.22,202.9,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,13.3,4.0,14,8,Windows 10,1.37,1970.0,1,0,512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,15.6,4.0,13,8,Windows 10,2.08,959.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,12.0,7.0,11,8,Mac OS X,0.92,1165.0,0,0,0,512,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2 in 1 Convertible,14.0,9.0,13,8,Windows 10,1.42,2330.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,1.0,10,4,Windows 10,1.63,299.0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,13,8,Windows 10,1.95,810.0,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,13.9,4.0,14,8,Windows 10,1.38,1349.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,12,8,Windows 10,2.0,739.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Workstation,15.6,4.0,14,8,Windows 10,3.14,2064.9,0,0,256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,13,8,Windows 10,2.37,1099.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
